ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
0,ΡΙΖΟΥΠΟΛΗ,"Κλάση A",3,93,0.03,3,01/2025
0,ΡΙΖΟΥΠΟΛΗ,"Κλάση Β",24,93,0.26,3,01/2025
0,ΣΑΛΑΜΙΝΑ,"Κλάση A",15,959,0.02,31,01/2025
0,ΣΑΛΑΜΙΝΑ,"Κλάση Β",113,491,0.23,17,01/2025
0,ΣΑΛΑΜΙΝΑ,"Κλάση Γ",86,131,0.66,5,01/2025
0,ΣΕΛΗΝΙΑ,"Κλάση A",6,155,0.04,5,01/2025
0,ΣΕΛΗΝΙΑ,"Κλάση Β",12,62,0.20,2,01/2025
0,ΤΕΛΩΝΕΙΟ,"Κλάση A",5,125,0.04,5,01/2025
0,ΤΕΛΩΝΕΙΟ,"Κλάση Β",39,185,0.21,7,01/2025
0,ΤΣΑΜΗ,"Κλάση Β",18,53,0.34,2,01/2025
0,ΧΑΙΔΑΡΙ,"Κλάση A",4,93,0.04,3,01/2025
0,ΧΑΙΔΑΡΙ,"Κλάση Β",51,155,0.33,5,01/2025
0,ΧΑΛΑΝΔΡΙ,"Κλάση A",1,52,0.03,2,01/2025
0,ΧΑΛΑΝΔΡΙ,"Κλάση Β",3,10,0.27,2,01/2025
10431,ΚΕΝΤΡΟ,"Κλάση A",195,10658,0.02,374,01/2025
10431,ΚΕΝΤΡΟ,"Κλάση Β","1,589",6058,0.26,216,01/2025
10431,ΚΕΝΤΡΟ,"Κλάση Γ","1,492",2042,0.73,81,01/2025
10431,ΚΕΝΤΡΟ,"Κλάση Δ","1,930",939,2.06,38,01/2025
10431,ΚΕΝΤΡΟ,"Κλάση Ε","3,827",155,24.69,5,01/2025
10432,ΚΕΝΤΡΟ,"Κλάση A",389,19983,0.02,688,01/2025
10432,ΚΕΝΤΡΟ,"Κλάση Β","1,627",6758,0.24,218,01/2025
10432,ΚΕΝΤΡΟ,"Κλάση Γ","1,057",1488,0.71,48,01/2025
10432,ΚΕΝΤΡΟ,"Κλάση Δ","3,172",1519,2.09,49,01/2025
10432,ΚΕΝΤΡΟ,"Κλάση Ε","1,459",155,9.41,5,01/2025
10432,ΜΟΥΣΕΙΟ,"Κλάση A",50,2697,0.02,87,01/2025
10432,ΜΟΥΣΕΙΟ,"Κλάση Β",191,961,0.20,31,01/2025
10432,ΜΟΥΣΕΙΟ,"Κλάση Γ",105,186,0.56,6,01/2025
10432,ΜΟΥΣΕΙΟ,"Κλάση Δ",105,93,1.13,3,01/2025
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",217,10540,0.02,341,01/2025
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,171",4774,0.25,154,01/2025
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",850,1178,0.72,38,01/2025
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",949,465,2.04,15,01/2025
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",42,1426,0.03,46,01/2025
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β",188,744,0.25,24,01/2025
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ",69,93,0.74,3,01/2025
10433,ΚΕΝΤΡΟ,"Κλάση A",38,1457,0.03,47,01/2025
10433,ΚΕΝΤΡΟ,"Κλάση Β",116,434,0.27,14,01/2025
10433,ΚΕΝΤΡΟ,"Κλάση Γ",42,62,0.68,2,01/2025
10433,ΜΟΥΣΕΙΟ,"Κλάση A",127,6169,0.02,199,01/2025
10433,ΜΟΥΣΕΙΟ,"Κλάση Β",667,3100,0.22,100,01/2025
10433,ΜΟΥΣΕΙΟ,"Κλάση Γ",158,248,0.64,8,01/2025
10433,ΜΟΥΣΕΙΟ,"Κλάση Δ",267,186,1.44,6,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",725,28056,0.03,907,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","5,235",22409,0.23,723,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,818",2805,0.65,92,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,007",589,1.71,19,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",563,23653,0.02,764,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","4,897",20336,0.24,656,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","1,786",2821,0.63,91,01/2025
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ","1,456",837,1.74,27,01/2025
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",339,14313,0.02,504,01/2025
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","3,339",13713,0.24,509,01/2025
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","1,430",2162,0.66,96,01/2025
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",622,384,1.62,21,01/2025
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",390,16463,0.02,579,01/2025
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β","4,324",17383,0.25,613,01/2025
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ","1,195",1833,0.65,91,01/2025
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Δ","1,209",588,2.06,24,01/2025
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Ε",552,96,5.75,4,01/2025
10434,ΜΟΥΣΕΙΟ,"Κλάση A",101,3274,0.03,114,01/2025
10434,ΜΟΥΣΕΙΟ,"Κλάση Β",620,2585,0.24,95,01/2025
10434,ΜΟΥΣΕΙΟ,"Κλάση Γ",100,150,0.67,6,01/2025
10434,ΜΟΥΣΕΙΟ,"Κλάση Δ",13,5,2.55,2,01/2025
10434,ΟΤΕ,"Κλάση A",150,5193,0.03,180,01/2025
10434,ΟΤΕ,"Κλάση Β",739,3207,0.23,120,01/2025
10434,ΟΤΕ,"Κλάση Γ",409,602,0.68,34,01/2025
10434,ΟΤΕ,"Κλάση Δ",390,295,1.32,10,01/2025
10434,ΟΤΕ,"Κλάση Ε",272,34,8.01,2,01/2025
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση A",157,7129,0.02,247,01/2025
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Β","1,323",5297,0.25,195,01/2025
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Γ",433,661,0.65,30,01/2025
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Δ",207,150,1.38,6,01/2025
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A","1,186",45578,0.03,1606,01/2025
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","9,772",41921,0.23,1537,01/2025
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","2,952",4638,0.64,203,01/2025
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ","1,458",902,1.62,41,01/2025
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",17,691,0.02,28,01/2025
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β",254,1048,0.24,39,01/2025
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ",112,180,0.62,7,01/2025
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",97,65,1.49,3,01/2025
10435,ΚΕΝΤΡΟ,"Κλάση A",89,3474,0.03,125,01/2025
10435,ΚΕΝΤΡΟ,"Κλάση Β",771,3180,0.24,117,01/2025
10435,ΚΕΝΤΡΟ,"Κλάση Γ",224,374,0.60,15,01/2025
10435,ΚΕΝΤΡΟ,"Κλάση Δ",102,62,1.65,2,01/2025
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A","1,204",42153,0.03,1525,01/2025
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","10,847",45662,0.24,1674,01/2025
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","3,483",5200,0.67,226,01/2025
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","3,944",2075,1.90,86,01/2025
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","1,422",106,13.42,5,01/2025
10436,ΚΕΝΤΡΟ,"Κλάση A",29,1320,0.02,45,01/2025
10436,ΚΕΝΤΡΟ,"Κλάση Β",246,1142,0.22,39,01/2025
10436,ΚΕΝΤΡΟ,"Κλάση Γ",139,204,0.68,8,01/2025
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",830,33313,0.02,1188,01/2025
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","7,286",30773,0.24,1149,01/2025
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","2,776",4291,0.65,189,01/2025
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","2,094",1085,1.93,46,01/2025
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","2,043",249,8.21,9,01/2025
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",54,2108,0.03,73,01/2025
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β",366,1565,0.23,56,01/2025
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",106,171,0.62,6,01/2025
10437,ΚΕΝΤΡΟ,"Κλάση A",428,22642,0.02,899,01/2025
10437,ΚΕΝΤΡΟ,"Κλάση Β","3,555",14156,0.25,528,01/2025
10437,ΚΕΝΤΡΟ,"Κλάση Γ","2,371",3559,0.67,158,01/2025
10437,ΚΕΝΤΡΟ,"Κλάση Δ","2,904",1407,2.06,57,01/2025
10437,ΚΕΝΤΡΟ,"Κλάση Ε","1,616",169,9.56,6,01/2025
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",200,10283,0.02,368,01/2025
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","1,596",6488,0.25,243,01/2025
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","1,155",1707,0.68,71,01/2025
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","1,279",597,2.14,22,01/2025
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","3,176",138,23.01,5,01/2025
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",177,7191,0.02,232,01/2025
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,320",5333,0.25,173,01/2025
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",848,1240,0.68,40,01/2025
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,369",587,2.33,19,01/2025
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",892,126,7.08,5,01/2025
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση A",5,186,0.03,6,01/2025
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",670,23436,0.03,757,01/2025
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","5,716",24118,0.24,778,01/2025
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ","1,579",2418,0.65,78,01/2025
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",954,558,1.71,18,01/2025
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Ε",641,93,6.90,3,01/2025
10438,ΒΑΘΗΣ,"Κλάση A",652,27569,0.02,890,01/2025
10438,ΒΑΘΗΣ,"Κλάση Β","5,891",24294,0.24,784,01/2025
10438,ΒΑΘΗΣ,"Κλάση Γ","2,231",3534,0.63,114,01/2025
10438,ΒΑΘΗΣ,"Κλάση Δ","1,639",868,1.89,28,01/2025
10438,ΒΑΘΗΣ,"Κλάση Ε",676,93,7.27,3,01/2025
10438,ΚΕΝΤΡΟ,"Κλάση A",11,527,0.02,17,01/2025
10438,ΚΕΝΤΡΟ,"Κλάση Β",68,341,0.20,11,01/2025
10438,ΚΕΝΤΡΟ,"Κλάση Γ",50,62,0.81,2,01/2025
10438,ΚΕΝΤΡΟ,"Κλάση Δ",236,124,1.90,4,01/2025
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",191,7667,0.02,253,01/2025
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,631",6500,0.25,210,01/2025
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,323",1953,0.68,63,01/2025
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,452",775,1.87,25,01/2025
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",327,11746,0.03,380,01/2025
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","2,711",11256,0.24,364,01/2025
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ",880,1364,0.65,44,01/2025
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",495,310,1.60,10,01/2025
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",389,13695,0.03,442,01/2025
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","3,244",13609,0.24,440,01/2025
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",827,1340,0.62,44,01/2025
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",255,186,1.37,6,01/2025
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",125,4681,0.03,152,01/2025
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","1,206",5006,0.24,162,01/2025
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ",374,574,0.65,19,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",218,10116,0.02,328,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","2,378",9445,0.25,305,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,235",1884,0.66,61,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",817,565,1.45,19,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",36,1581,0.02,51,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β",363,1395,0.26,45,01/2025
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",152,217,0.70,7,01/2025
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",578,21914,0.03,709,01/2025
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","5,333",22106,0.24,714,01/2025
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,341",2170,0.62,70,01/2025
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",424,279,1.52,9,01/2025
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Ε",945,93,10.16,3,01/2025
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A","1,145",46161,0.02,1619,01/2025
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","12,023",49213,0.24,1770,01/2025
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","3,798",5860,0.65,246,01/2025
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ","1,294",826,1.57,38,01/2025
10440,ΑΘΗΝΑ,"Κλάση A",19,1069,0.02,38,01/2025
10440,ΑΘΗΝΑ,"Κλάση Β",273,1194,0.23,45,01/2025
10440,ΑΘΗΝΑ,"Κλάση Γ",192,294,0.65,11,01/2025
10440,ΑΘΗΝΑ,"Κλάση Δ",22,16,1.35,2,01/2025
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",828,34443,0.02,1214,01/2025
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","8,867",36568,0.24,1310,01/2025
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ","2,749",4342,0.63,179,01/2025
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",755,565,1.34,26,01/2025
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Ε",755,101,7.47,5,01/2025
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",129,5162,0.02,179,01/2025
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","1,357",5020,0.27,189,01/2025
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",636,988,0.64,46,01/2025
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ",251,145,1.73,6,01/2025
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",396,15031,0.03,531,01/2025
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","3,371",14203,0.24,521,01/2025
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,555",2316,0.67,102,01/2025
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ","1,132",677,1.67,32,01/2025
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Ε",548,83,6.61,3,01/2025
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A","2,202",86314,0.03,3795,01/2025
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","28,665",113466,0.25,3769,01/2025
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","9,033",14464,0.62,493,01/2025
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","2,364",1498,1.58,53,01/2025
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",840,61,13.77,3,01/2025
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση A",25,868,0.03,28,01/2025
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Β",122,589,0.21,19,01/2025
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Γ",78,124,0.63,4,01/2025
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Δ",91,62,1.47,2,01/2025
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A",839,31610,0.03,1995,01/2025
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","11,848",46313,0.26,1569,01/2025
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","4,190",6579,0.64,246,01/2025
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","2,355",1196,1.97,41,01/2025
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",526,62,8.48,2,01/2025
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",356,13555,0.03,721,01/2025
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","5,416",20846,0.26,689,01/2025
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","2,303",3556,0.65,122,01/2025
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","1,563",884,1.77,34,01/2025
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","1,830",217,8.43,7,01/2025
10442,ΚΟΛΩΝΟΣ,"Κλάση A",18,474,0.04,18,01/2025
10442,ΚΟΛΩΝΟΣ,"Κλάση Β",314,1114,0.28,38,01/2025
10442,ΚΟΛΩΝΟΣ,"Κλάση Γ",180,307,0.59,13,01/2025
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A","1,331",42790,0.03,1381,01/2025
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","22,531",87286,0.26,2816,01/2025
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","6,085",9827,0.62,317,01/2025
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","1,181",713,1.66,23,01/2025
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","4,467",93,48.03,3,01/2025
10443,ΚΟΛΩΝΟΣ,"Κλάση A",486,15191,0.03,492,01/2025
10443,ΚΟΛΩΝΟΣ,"Κλάση Β","6,599",25264,0.26,815,01/2025
10443,ΚΟΛΩΝΟΣ,"Κλάση Γ","2,086",3286,0.63,106,01/2025
10443,ΚΟΛΩΝΟΣ,"Κλάση Δ",311,155,2.01,5,01/2025
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",824,26995,0.03,872,01/2025
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","10,692",41236,0.26,1331,01/2025
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","3,108",5053,0.62,163,01/2025
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",341,186,1.84,6,01/2025
10443,ΣΕΠΟΛΙΑ,"Κλάση A","2,781",93711,0.03,3026,01/2025
10443,ΣΕΠΟΛΙΑ,"Κλάση Β","39,141",151527,0.26,4889,01/2025
10443,ΣΕΠΟΛΙΑ,"Κλάση Γ","10,979",17825,0.62,575,01/2025
10443,ΣΕΠΟΛΙΑ,"Κλάση Δ","2,926",1584,1.85,53,01/2025
10444,ΚΟΛΩΝΟΣ,"Κλάση A","3,530",129710,0.03,4188,01/2025
10444,ΚΟΛΩΝΟΣ,"Κλάση Β","43,580",171062,0.25,5521,01/2025
10444,ΚΟΛΩΝΟΣ,"Κλάση Γ","13,333",21173,0.63,683,01/2025
10444,ΚΟΛΩΝΟΣ,"Κλάση Δ","2,086",1450,1.44,47,01/2025
10444,ΚΟΛΩΝΟΣ,"Κλάση Ε",667,62,10.75,2,01/2025
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",630,23405,0.03,755,01/2025
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","7,405",29326,0.25,946,01/2025
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","2,171",3565,0.61,115,01/2025
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",360,186,1.94,6,01/2025
10444,ΣΕΠΟΛΙΑ,"Κλάση A",38,1426,0.03,46,01/2025
10444,ΣΕΠΟΛΙΑ,"Κλάση Β",562,2325,0.24,75,01/2025
10444,ΣΕΠΟΛΙΑ,"Κλάση Γ",135,217,0.62,7,01/2025
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση A",75,3023,0.02,98,01/2025
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Β",976,4092,0.24,132,01/2025
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Γ",314,496,0.63,16,01/2025
10445,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση A",120,4929,0.02,159,01/2025
10445,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση Β","1,683",6541,0.26,211,01/2025
